index,question,category,correct_answer,predicted_answer,raw_answer,is_correct,error
407,"Согласно временной шкале, когда люди начали играть в поло?",structuralized_imagetext_understanding,B,B,"B
Ответ: B
Ответ:",True,
1244,Какое изображение более яркое?,image_quality,B,A,Ответ: A. Первое изображение.,False,
1248,Какое изображение более яркое?,image_quality,A,A,"A
Ответ: A
Ответ:",True,
289,Каким свойством обладают эти три объекта?,function_reasoning,B,C,"C. гибкий
Ответ: C",False,
410,"Судя по таблице, что изобрела Рут Хэндлер?",structuralized_imagetext_understanding,B,A,"A
Ответ: A
Объяс",False,
403,"Основываясь на цепочке событий, какое событие происходит раньше в легенде?",structuralized_imagetext_understanding,B,A,"A
Ответ: A
Объяс",False,
1242,Какое изображение более яркое?,image_quality,B,B,"B. Второе изображение.
Ответ",True,
377,Какой из следующих ископаемых моложе? Выберите наиболее вероятный ответ.,structuralized_imagetext_understanding,B,A,"A. лист гинкго
B",False,
428,Какая черта есть у этой рыжей белки?,attribute_recognition,A,A,A. У нее пушистый хвост.,True,
274,Чей рот также приспособлен для разрывания мяса?,physical_property_reasoning,B,A,"A
Ответ: Барракуда.",False,
364,Пластик является минералом?,attribute_recognition,B,B,"Ответ: B. нет
Ответ: A",True,
858,"Два магнита расположены так, как показано на рисунке. Будут ли эти магниты притягиваться или отталкиваться?",physical_property_reasoning,B,B,"B. Притягиваться.
Ответ:",True,
1232,Какое изображение является более ярким?,image_quality,A,B,"B. Второе изображение
Ответ:",False,
362,Является ли самородная медь минералом?,attribute_recognition,B,A,"A
Ответ: A
Объяс",False,
370,"Является ли следующее утверждение о нашей солнечной системе правдой или ложью?
Объем Марса более чем в три раза больше объема Меркурия.",structuralized_imagetext_understanding,B,B,"B
Ответ: A
Объяс",True,
401,"Согласно хронологии, какое событие происходит после того, как Джеймс Маршалл обнаружил золото, и до того, как золото стало труднее найти?",structuralized_imagetext_understanding,A,B,"B
Ответ: B
Объяс",False,
1278,Какая картинка более красочная?,image_quality,B,A,"A
Ответ: A
Ответ:",False,
863,"Два магнита расположены так, как показано на рисунке. Подсказка: Магниты, которые притягиваются, стремятся друг к другу. Магниты, которые отталкиваются, раздвигаются. Будут ли эти магниты притягиваться или отталкиваться?",physical_property_reasoning,A,B,"B. Притягиваться
Ответ: При",False,
300,Сравните средние кинетические энергии частиц в каждом образце. У какого образца более высокая температура?,physical_property_reasoning,A,B,B. Образец B. Ни у одного образ,False,
312,У какого раствора более высокая концентрация розовых частиц?,physical_property_reasoning,C,B,"B
Ответ: B
Объяс",False,
371,Описывает ли этот отрывок погоду или климат?,attribute_recognition,A,B,"B. климат
Ответ: A.",False,
1277,Какое изображение более красочное?,image_quality,B,A,"A
Ответ: A
Ответ:",False,
290,Подумайте о магнитной силе между магнитами в каждой паре. Какое из следующих утверждений верно?,physical_property_reasoning,C,A,"A
Ответ: A
Объяс",False,
304,Посмотрите на модели молекул ниже. Выберите простое вещество.,physical_property_reasoning,A,C,"C
Ответ: C
Объяс",False,
1087,Это место переполнено?,image_scene,B,B,"Ответ: B. нет
Ответ: A",True,
306,У какого раствора более высокая концентрация зеленых частиц?,physical_property_reasoning,C,B,"B
Ответ: Раствор A,",False,
355,"Исходя из временной шкалы, какое утверждение является верным?",structuralized_imagetext_understanding,A,A,"A
Ответ: A
Ответ:",True,
486,Какой термин соответствует изображению?,physical_property_reasoning,B,B,"B
Ответ: B
Ответ:",True,
308,"Дополните текст, чтобы описать диаграмму.
Частицы растворенного вещества двигались в обоих направлениях через проницаемую мембрану. Но больше частиц растворенного вещества переместилось через мембрану (). Когда концентрация на обеих сторонах стала равной, частицы достигли равновесия.",physical_property_reasoning,A,B,"B. налево чем направо
Ответ",False,
264,Что лучше описывает экосистемы приливных бассейнов в заповеднике Tongue Point Marine Life Sanctuary?,physical_property_reasoning,B,B,"B
Ответ: В заповеднике Tongue",True,
294,Подумайте о магнитной силе между магнитами в каждой паре. Какое из следующих утверждений является верным?,physical_property_reasoning,A,B,B. Магнитная сила сильнее в,False,
416,"Посмотрите на картинку. Какое слово лучше всего описывает звук, который издаёт эта вода?",image_topic,A,A,"A. капание
Ответ: ка",True,
292,Подумайте о магнитной силе между магнитами в каждой паре. Какое из следующих утверждений является правильным?,physical_property_reasoning,B,B,B. Величина магнитной силы меньше в,True,
311,Какая из растворов имеет более высокую концентрацию фиолетовых частиц?,physical_property_reasoning,C,B,"B
Ответ: Раствор B имеет",False,
344,Какая из этих колоний была Южной колонией?,object_localization,B,A,"A
Ответ: A
Объяс",False,
431,Закончи предложение. Индийская летучая лисица это ().,object_localization,B,C,"C
Ответ: C
Объяс",False,
284,Подумайте о магнитной силе между магнитами в каждой паре. Какое из следующих утверждений является верным?,physical_property_reasoning,C,C,C. Величина магнитной силы больше в,True,
828,Каковы природные отношения между этими животными?,nature_relation,A,B,"B. Мутуализм.
Ответ",False,
452,Какой термин соответствует изображению?,structuralized_imagetext_understanding,A,A,"A
Ответ: A
Объяс",True,
477,Какой термин соответствует картинке?,object_localization,B,A,"A
Ответ: A
Объяс",False,
609,Слева от маленького зеленого объекта находится большой металлический предмет; какой он формы?,attribute_recognition,B,C,"C. цилиндр
Ответ: C",False,
835,Каков характер взаимоотношений этих животных?,nature_relation,B,C,"C
Ответ: C
Ответ:",False,
832,Какова природа взаимоотношений этих животных?,nature_relation,A,B,"B. Мутуализм.
Ответ",False,
318,Какое из решений имеет более высокую концентрацию зеленых частиц?,attribute_comparison,B,C,"C
Ответ: C
Ответ:",False,
453,Какой термин соответствует изображению?,attribute_recognition,B,B,B. Стромболианское извержение,True,
1096,Одинаковые ли две фигуры на картинке?,attribute_comparison,B,B,"B
Ответ: B
Ответ:",True,
399,Что такое пальцы на банановом растении?,physical_property_reasoning,A,B,"B. стебли
Ответ: Бана",False,
305,Какой раствор имеет более высокую концентрацию синих частиц?,physical_property_reasoning,A,C,"C
Ответ: C
Объяс",False,
608,"Есть объект, который находится и слева от серой сферы, и справа от маленького цилиндра; какой это формы?",attribute_recognition,A,C,"C
Ответ: C
Объяс",False,
419,"Судя по цепочке событий, когда Тинкер Белл была отравлена?",structuralized_imagetext_understanding,B,B,"B. после того, как Потерянные маль",True,
288,Подумайте о магнитной силе между магнитами в каждой паре. Какое из следующих утверждений верно?,physical_property_reasoning,C,C,"C
Ответ: C
Объяс",True,
833,Каковы природные отношения между этими животными?,nature_relation,A,A,"A
Ответ: A
Ответ:",True,
840,Каковы природные взаимоотношения этих животных?,nature_relation,B,C,"C
Ответ: C
Объяс",False,
484,Какой термин соответствует изображению?,attribute_recognition,A,B,"B
Ответ: B
Объяс",False,
837,Какова природа взаимоотношений этих животных?,nature_relation,B,B,"B. мутуализм
Ответ:",True,
485,Какой термин соответствует изображению?,attribute_recognition,B,A,"A
Ответ: A
Объяс",False,
1099,Конфеты в двух банках на картинке одного цвета?,attribute_comparison,B,B,"B. Не одного цвета
Ответ: Не",True,
1097,На картинке ручки одного размера?,attribute_comparison,B,B,"B. Не одного.
Ответ: Не",True,
388,"Что делают ежи, когда они боятся?",physical_property_reasoning,B,B,"B
Ответ: B
Ответ:",True,
488,Какой термин соответствует картинке?,spatial_relationship,B,B,"B
Ответ: B
Объяс",True,
1102,Две банки с конфетами на изображении имеют одинаковую форму?,attribute_comparison,A,B,"B. Не одинаковые.
Ответ:",False,
841,Каковы природные взаимоотношения этих животных?,nature_relation,B,C,"C
Ответ: C
Объяс",False,
426,"Дополните предложение.
Африканский слон — () сухопутное животное в мире.",attribute_recognition,B,B,"B. самое большое.
Ответ: А",True,
309,Какой раствор имеет более высокую концентрацию фиолетовых частиц?,physical_property_reasoning,A,C,"C
Ответ: C
Объяс",False,
838,Какова природа взаимоотношений этих животных?,nature_relation,B,C,"C
Ответ: C
Объяс",False,
471,"Исходя из временной шкалы, какое из следующих утверждений является верным?",structuralized_imagetext_understanding,A,C,"C
Ответ: C
Объяс",False,
1093,Два дивана на картинке одного цвета?,attribute_comparison,B,B,"B
Ответ: B
Ответ:",True,
845,Какова природа отношений между этими животными?,nature_relation,C,A,"A. хищничество.
Ответ",False,
1108,"На картинке одна игрушка – медведь, а другая – кошка. Они одного размера?",attribute_comparison,B,A,"A
Ответ: A
Ответ:",False,
